Graph_name,n_nodes,n_edges,diameter,b,cost,final_obj,n_vars,status,run_time
HI_TECH,33,91,5,0.1,3,55.49%,561,2,0.276
SMALLWORLD,233,994,4,0.1,23,6.27%,27261,2,168.757
LESMISERABLE,77,254,5,0.1,7,11.04%,3003,2,0.508
SANTAFE,118,200,12,0.1,11,1.68%,7021,2,0.308
ATTIRO,59,128,8,0.1,5,25.95%,1770,2,0.19
DOLPHINS,62,159,8,0.1,6,30.83%,1953,2,1.035
CHESAPEAKE,39,170,3,0.1,3,69.1%,780,2,0.39
MEXICAN,35,117,4,0.1,3,60.17%,630,2,0.136
KARATE,34,78,5,0.1,3,26.2%,595,2,0.035
LINDENSTRASSE,232,303,13,0.1,23,1.6%,27028,2,1.03
SAWMILL,36,62,8,0.1,3,21.43%,666,2,0.027
SANJUANSUR2,75,155,7,0.1,7,16.47%,2850,2,0.25
HI_TECH,33,91,5,0.05,1,75.19%,561,2,0.086
SMALLWORLD,233,994,4,0.05,11,17.13%,27261,2,67.379
LESMISERABLE,77,254,5,0.05,3,31.78%,3003,2,0.406
SANTAFE,118,200,12,0.05,5,4.42%,7021,2,0.277
ATTIRO,59,128,8,0.05,2,43.42%,1770,2,0.137
DOLPHINS,62,159,8,0.05,3,43.36%,1953,2,0.49
CHESAPEAKE,39,170,3,0.05,1,93.93%,780,2,0.281
MEXICAN,35,117,4,0.05,1,88.57%,630,2,0.126
KARATE,34,78,5,0.05,1,57.75%,595,2,0.055
LINDENSTRASSE,232,303,13,0.05,11,3.93%,27028,2,0.844
SAWMILL,36,62,8,0.05,1,34.13%,666,2,0.024
SANJUANSUR2,75,155,7,0.05,3,28.94%,2850,2,0.124
