graph;n_nodes;n_edges;diameter ;run_time;run_time_10%;Type
Hi-Tech;33;91;5;0,12;0.59;DCNDP_BASE
Karate;34;78;5;0,16;0.11;DCNDP_BASE
Mexican;35;117;4;0,31;0.33;DCNDP_BASE
Sawmill;36;62;8;0,08;0.08;DCNDP_BASE
Chesapeake;39;170;3;0,6;1.36;DCNDP_BASE
Dolphins;62;159;8;1,91;1.91;DCNDP_BASE
Lesmiserable;77;254;5;0,52;0.97;DCNDP_BASE
Santafe;118;200;12;0,2;0.59;DCNDP_BASE
Sanjuansur;75;155;7;0,44;0.39;DCNDP_BASE
Attiro;59;128;8;0,39;0.67;DCNDP_BASE
UsAir97;332;2126;6;2800,56;3600;DCNDP_BASE
SmallWorld;233;994;4;146,52;3600;DCNDP_BASE
Hi-Tech;33;91;5;0.12;0,36;DCNDP_1
Karate;34;78;5;0.07;0,05;DCNDP_1
Mexican;35;117;4;0.16;0,16;DCNDP_1
Sawmill;36;62;8;0.07;0,04;DCNDP_1
Chesapeake;39;170;3;0,32;0,55;DCNDP_1
Dolphins;62;159;8;0,88;1,22;DCNDP_1
Lesmiserable;77;254;5;0,73;0,57;DCNDP_1
Santafe;118;200;12;0,69;0,43;DCNDP_1
Sanjuansur;75;155;7;0,24;0,42;DCNDP_1
Attiro;59;128;8;0.16;0,35;DCNDP_1
UsAir97;332;2126;6;189,18;872,71;DCNDP_1
SmallWorld;233;994;4;69,2;170,52;DCNDP_1
