graph;n_nodes;n_edges;diameter ;run_time;run_time_10%;Type
Hi-Tech;33;91;5;0,47;2,38;DCNDP_BASE
Karate;34;78;5;0,31;0,38;DCNDP_BASE
Mexican;35;117;4;0,36;0,92;DCNDP_BASE
Sawmill;36;62;8;0,75;0,49;DCNDP_BASE
Chesapeake;39;170;3;0,27;0,33;DCNDP_BASE
Dolphins;62;159;8;245;602,5;DCNDP_BASE
Lesmiserable;77;254;5;3,03;7,27;DCNDP_BASE
Santafe;118;200;12;14,1;21,39;DCNDP_BASE
Sanjuansur;75;155;7;142;216,9;DCNDP_BASE
Attiro;59;128;8;29;153,78;DCNDP_BASE
UsAir97;332;2126;6;9600;9800;DCNDP_BASE
SmallWorld;233;994;4;620,7;7800;DCNDP_BASE
Hi-Tech;33;91;5;0,36;0,4;DCNDP_2
Karate;34;78;5;0,11;0,16;DCNDP_2
Mexican;35;117;4;0,27;0,21;DCNDP_2
Sawmill;36;62;8;0,23;0,09;DCNDP_2
Chesapeake;39;170;3;0,25;0,25;DCNDP_2
Dolphins;62;159;8;12,46;1,38;DCNDP_2
Lesmiserable;77;254;5;1,97;1,97;DCNDP_2
Santafe;118;200;12;1,24;1,24;DCNDP_2
Sanjuansur;75;155;7;8,18;7,9;DCNDP_2
Attiro;59;128;8;2,29;7,18;DCNDP_2
UsAir97;332;2126;6;1186;2100;DCNDP_2
SmallWorld;233;994;4;190,4;730;DCNDP_2
