Graph;n_nodes;n_edges;diameter ;init_obj;final_obj;cost;n_vars_sol;distance-based pairwise connectivity;work;Status;callback_time (s);run_time (s)
Hi-Tech;33;91;5;88,30%;55,49%;3;561;297;0,11;2;0,19;0,36
Karate;34;78;5;85,6%;26,2%;3;595;147;0,011;2;0,03;0,05
Mexican;35;117;4;98,0%;60,17%;3;630;358;0,065;2;0,06;0,16
Sawmill;36;62;8;63,0%;21,43%;3;666;135;0,005;2;0,02;0,04
Chesapeake;39;170;3;100,0%;69,1%;3;780;512;0,23;2;0,29;0,55
Dolphins;62;159;8;58,5%;30,83%;6;1953;583;0,63;2;0,64;1,22
Lesmiserable;77;254;5;85,4%;11,04%;7;3003;323;0,22;2;0,36;0,57
Santafe;118;200;12;32,9%;1,68%;11;7021;116;0,039;2;0,3;0,43
Sanjuansur;75;155;7;48,7%;16,47%;7;2850;457;0,09;2;0,19;0,42
Attiro;59;128;8;68,00%;25,95%;5;1770;444;0,091;2;0,15;0,35
UsaAir97;332;2126;6;84,8%;5,64%;33;55278;3100;1264,4;2;216,76;872,71
SmallWorld;233;994;4;95,2%;6,27%;23;27261;1694;190,75;2;55,42;170,52
