Graph;n_nodes;n_edges;diameter ;init_obj;final_obj;cost;n_vars_sol;distance-based pairwise connectivity;Status;callback_time (s);run_time (s)
Hi-Tech;33;91;5;88,30%;43,69%;1;2673;230,67;2;0,1;0,36
Karate;34;78;5;85,6%;33,74%;1;2839;189,27;2;0,02;0,11
Mexican;35;117;4;98,0%;49,09%;1;2415;291,92;2;0,07;0,27
Sawmill;36;62;8;63,0%;27,46%;1;5076;173;2;0,04;0,23
Chesapeake;39;170;3;100,0%;53,71%;1;2262;398;2;0,09;0,25
Dolphins;62;159;8;58,5%;29,33%;3;15190;554,83;2;1,68;12,46
Lesmiserable;77;254;5;85,4%;18,43%;3;14707;539,53;2;0,39;1,97
Santafe;118;200;12;32,9%;2,95%;5;82954;203,82;2;0,4;1,24
Sanjuansur;75;155;7;48,7%;25,90%;3;19500;71861;2;1,22;8,18
Attiro;59;128;8;68,00%;31,11%;2;13747;532;2;0,55;2,29
