Graph_name,n_nodes,n_edges,diameter,b,cost,final_obj,n_vars,status,run_time
HI_TECH,33,91,5,0.01,0,88.26%,561,2,0.024
SMALLWORLD,233,994,4,0.01,2,48.69%,27261,2,11.485
LESMISERABLE,77,254,5,0.01,0,85.44%,3003,2,0.078
BA1(2),100,475,4,0.01,1,97.72%,5050,2,7.873
SANTAFE,118,200,12,0.01,1,19.47%,7021,2,0.136
ATTIRO,59,128,8,0.01,0,68.03%,1770,2,0.034
DOLPHINS,62,159,8,0.01,0,58.54%,1953,2,0.034
CHESAPEAKE,39,170,3,0.01,0,100.0%,780,2,0.02
MEXICAN,35,117,4,0.01,0,97.98%,630,2,0.017
KARATE,34,78,5,0.01,0,85.56%,595,2,0.014
LINDENSTRASSE,232,303,13,0.01,2,9.39%,27028,2,0.309
USAIR97,332,2126,6,0.01,3,63.9%,55278,2,120.985
BA1(1),100,475,4,0.01,1,97.78%,5050,2,7.44
SAWMILL,36,62,8,0.01,0,63.02%,666,2,0.012
SANJUANSUR2,75,155,7,0.01,0,48.72%,2850,2,0.041
HI_TECH,33,91,5,0.05,1,75.19%,561,2,0.052
SMALLWORLD,233,994,4,0.05,11,17.13%,27261,2,41.457
LESMISERABLE,77,254,5,0.05,3,31.78%,3003,2,0.205
BA1(2),100,475,4,0.05,5,86.97%,5050,2,107.639
SANTAFE,118,200,12,0.05,5,4.42%,7021,2,0.151
ATTIRO,59,128,8,0.05,2,43.42%,1770,2,0.086
DOLPHINS,62,159,8,0.05,3,43.36%,1953,2,0.323
CHESAPEAKE,39,170,3,0.05,1,93.93%,780,2,0.184
MEXICAN,35,117,4,0.05,1,88.57%,630,2,0.082
KARATE,34,78,5,0.05,1,57.75%,595,2,0.035
LINDENSTRASSE,232,303,13,0.05,11,3.93%,27028,2,0.501
USAIR97,332,2126,6,0.05,16,19.33%,55278,2,121.279
BA1(1),100,475,4,0.05,5,87.19%,5050,2,105.754
SAWMILL,36,62,8,0.05,1,34.13%,666,2,0.016
SANJUANSUR2,75,155,7,0.05,3,28.94%,2850,2,0.077
HI_TECH,33,91,5,0.1,3,55.49%,561,2,0.175
SMALLWORLD,233,994,4,0.1,23,6.27%,27261,2,100.679
LESMISERABLE,77,254,5,0.1,7,11.04%,3003,2,0.317
BA1(2),100,475,4,0.1,10,70.81%,5050,2,219.634
SANTAFE,118,200,12,0.1,11,1.68%,7021,2,0.206
ATTIRO,59,128,8,0.1,5,25.95%,1770,2,0.127
DOLPHINS,62,159,8,0.1,6,30.83%,1953,2,0.676
CHESAPEAKE,39,170,3,0.1,3,69.1%,780,2,0.243
MEXICAN,35,117,4,0.1,3,60.17%,630,2,0.091
KARATE,34,78,5,0.1,3,26.2%,595,2,0.024
LINDENSTRASSE,232,303,13,0.1,23,1.6%,27028,2,0.689
USAIR97,332,2126,6,0.1,33,5.64%,55278,2,535.13
BA1(1),100,475,4,0.1,10,68.18%,5050,2,52.967
SAWMILL,36,62,8,0.1,3,21.43%,666,2,0.017
SANJUANSUR2,75,155,7,0.1,7,16.47%,2850,2,0.171
